=== xe48 lane 0 (phy 0xc1) ===
  0x838d: 0x0000
  0x838e: 0x0000
  0x838f: 0x838f
  0x8390: 0x00fd
  0x8391: 0x0008
  0x8392: 0x0008
  0x8393: 0x0008
  0x8394: 0x0008
  0x8395: 0x0209
  0x8396: 0x0082
  0x8397: 0x0139
  0x8398: 0x843e
  0x8399: 0x65ba
  0x839a: 0x0000
  0x839b: 0x3425
  0x839c: 0x0000
  0x839d: 0x0005
  0x839e: 0x0606
  0x839f: 0x839f
  0x83a0: 0x043e
  0x83a1: 0x0000
  0x83a2: 0x0000
  0x83a3: 0x0000
  0x83a4: 0x0000
  0x83a5: 0x0000
  0x83a6: 0x0000
  0x83a7: 0x011e
  0x83a8: 0x0000
  0x83a9: 0x0000
  0x83aa: 0x0000
  0x83ab: 0x0000
  0x83ac: 0x0000
  0x83ad: 0x0000
  0x83ae: 0x0000
  0x83af: 0x83af
  0x83b0: 0x0005
  0x83b1: 0x0000
  0x83b2: 0x01b4
  0x83b3: 0x0000
  0x83b4: 0x0000
  0x83b5: 0x0000
  0x83b6: 0x0000
  0x83b7: 0x0000
  0x83b8: 0x0000
  0x83b9: 0x0000
  0x83ba: 0x0000
  0x83bb: 0x0000
  0x83bc: 0x0000
  0x83bd: 0x0000
  0x83be: 0x0000
  0x83bf: 0x83bf
  0x83c0: 0x1415
  0x83c1: 0x8000
  0x83c2: 0xe070
  0x83c3: 0xc0d0
  0x83c4: 0xa0b0
  0x83c5: 0x8090
  0x83c6: 0xf0f0
  0x83c7: 0xf0f0
  0x83c8: 0xf0f0
  0x83c9: 0xf0f0
  0x83ca: 0x1b4b
  0x83cb: 0x0401
  0x83cc: 0x0000
  0x83cd: 0x0000
  0x83ce: 0x0000
  0x83cf: 0x83cf
  0x83d0: 0x0000
  0x83d1: 0xfbfd
  0x83d2: 0x3040
  0x83d3: 0x0000
  0x83d4: 0x0000
  0x83d5: 0x0707
  0x83d6: 0x0707
  0x83d7: 0x0000
  0x83d8: 0x0000
  0x83d9: 0x0000
  0x83da: 0x0000
  0x83db: 0x0000
  0x83dc: 0x0000
  0x83dd: 0x0000
  0x83de: 0x0000
  0x83df: 0x83df
  0x83e0: 0x0000
  0x83e1: 0xfbfd
  0x83e2: 0x0000
  0x83e3: 0x0000
  0x83e4: 0x0000
  0x83e5: 0x0000
  0x83e6: 0x0000
  0x83e7: 0x0000
  0x83e8: 0x0000
  0x83e9: 0x0000
  0x83ea: 0x0000
  0x83eb: 0x0000
  0x83ec: 0x0000
  0x83ed: 0x0000
  0x83ee: 0x0000
  0x83ef: 0x83ef
  0x83f0: 0x0000
  0x83f1: 0x0000
  0x83f2: 0x0000
  0x83f3: 0x0000
  0x83f4: 0x0000
  0x83f5: 0x0000
  0x83f6: 0x0000
  0x83f7: 0x0000
  0x83f8: 0x0000
  0x83f9: 0x0000
  0x83fa: 0x0000
  0x83fb: 0x0000
  0x83fc: 0x0000
  0x83fd: 0x0000
  0x83fe: 0x0000
  0x83ff: 0x83ff
  0x8400: 0x014a
  0x8401: 0x0000
  0x8402: 0x0880
  0x8403: 0x8000
  0x8404: 0x0000
  0x8405: 0x0000
  0x8406: 0x0000
  0x8407: 0x0000
  0x8408: 0x03ff
  0x8409: 0x003c
  0x840a: 0x0d5e
  0x840b: 0x4894
  0x840c: 0x17f4
  0x840d: 0x0000
  0x840e: 0x0000
  0x840f: 0x840f
  0x8410: 0x0209
  0x8411: 0xfe50
  0x8412: 0x011e
  0x8413: 0x0209
  0x8414: 0xfe50
  0x8415: 0x00ea
  0x8416: 0x0209
  0x8417: 0xfe50
  0x8418: 0x00ea
  0x8419: 0x01bb
  0x841a: 0xacef
  0x841b: 0x0139
  0x841c: 0x01bb
  0x841d: 0xacef
  0x841e: 0x016d
  0x841f: 0x841f
  0x8420: 0x0000
  0x8421: 0xffff
  0x8422: 0x1071
  0x8423: 0x0000
  0x8424: 0x1071
  0x8425: 0x4384
  0x8426: 0x99c0
  0x8427: 0xebc2
  0x8428: 0x610b
  0x8429: 0x3fff
  0x842a: 0x01df
  0x842b: 0x0400
  0x842c: 0x0041
  0x842d: 0x020f
  0x842e: 0x0000
  0x842f: 0x842f
  0x8430: 0x0000
  0x8431: 0x0000
  0x8432: 0x0000
  0x8433: 0x0000
  0x8434: 0x0001
  0x8435: 0x0001
  0x8436: 0x7690
  0x8437: 0xc4f0
  0x8438: 0xe647
  0x8439: 0x7690
  0x843a: 0xc4f0
  0x843b: 0xe647
  0x843c: 0x0000
  0x843d: 0x0000
  0x843e: 0x0000
  0x843f: 0x843f
  0x8440: 0x0006
  0x8441: 0x0000
  0x8442: 0x0000
  0x8443: 0x0000
  0x8444: 0x0000
  0x8445: 0x0000
  0x8446: 0x0000
  0x8447: 0x0000
  0x8448: 0x0000
  0x8449: 0x0000
  0x844a: 0x0000
  0x844b: 0x0000
  0x844c: 0x0000
  0x844d: 0x0000
  0x844e: 0x0000
  0x844f: 0x844f
=== xe48 lane 1 (phy 0xc1) ===
  0x8300: 0x0191
  0x8301: 0x0007
  0x8302: 0x2004
  0x8303: 0x0000
